ListSizes,TestResult
0,0
1000,1
2000,2
3000,3
4000,4
5000,4
6000,5
7000,6
8000,7
9000,8
10000,9
11000,9
12000,11
13000,12
14000,12
15000,15
16000,15
17000,17
18000,17
19000,17
20000,18
21000,18
22000,19
23000,20
24000,20
25000,23
26000,23
27000,25
28000,27
29000,25
30000,27
31000,28
32000,29
33000,29
34000,30
35000,31
36000,30
37000,34
38000,33
39000,33
40000,36
41000,37
42000,39
43000,39
44000,39
45000,38
46000,41
47000,42
48000,42
49000,44
50000,45
51000,46
52000,47
53000,47
54000,48
55000,47
56000,50
57000,51
58000,50
59000,50
60000,53
61000,54
62000,55
63000,56
64000,57
65000,57
66000,59
67000,58
68000,59
69000,62
70000,61
71000,64
72000,65
73000,66
74000,64
75000,68
76000,71
77000,70
78000,69
79000,69
80000,71
81000,70
82000,73
83000,72
84000,76
85000,76
86000,76
87000,78
88000,76
89000,79
90000,80
91000,82
92000,79
93000,82
94000,84
95000,82
96000,87
97000,87
98000,86
99000,87
100000,87
101000,93
102000,94
103000,91
104000,92
105000,92
106000,92
107000,93
108000,94
109000,97
110000,96
111000,100
112000,99
113000,99
114000,100
115000,103
116000,101
117000,102
118000,103
119000,106
120000,106
121000,109
122000,107
123000,109
124000,110
125000,111
126000,113
127000,112
128000,115
129000,117
130000,114
131000,116
132000,120
133000,117
134000,118
135000,120
136000,122
137000,120
138000,122
139000,122
140000,124
141000,128
142000,127
143000,128
144000,130
145000,130
146000,131
147000,131
148000,129
149000,134
150000,134
151000,136
152000,133
153000,136
154000,140
155000,140
156000,137
157000,141
158000,141
159000,141
160000,142
161000,143
162000,142
163000,144
164000,147
165000,145
166000,148
167000,151
168000,146
169000,149
170000,150
171000,150
172000,155
173000,155
174000,156
175000,155
176000,156
177000,153
178000,161
179000,159
180000,162
181000,164
182000,163
183000,165
184000,167
185000,166
186000,162
187000,169
188000,170
189000,165
190000,166
191000,172
192000,170
193000,174
194000,171
195000,175
196000,176
197000,176
198000,175
199000,178
