K,TestResult
0,0
1000,179
2000,200
3000,199
4000,195
5000,202
6000,203
7000,209
8000,207
9000,215
10000,221
11000,213
12000,222
13000,229
14000,231
15000,227
16000,232
17000,241
18000,248
19000,254
20000,254
21000,249
22000,258
23000,255
24000,259
25000,247
26000,257
27000,255
28000,252
29000,254
30000,251
31000,257
32000,239
33000,243
34000,250
35000,259
36000,249
37000,263
38000,244
39000,250
40000,254
41000,261
42000,276
43000,257
44000,257
45000,261
46000,263
47000,269
48000,259
49000,265
50000,261
51000,256
52000,264
53000,267
54000,267
55000,262
56000,268
57000,261
58000,281
59000,267
60000,273
61000,285
62000,276
63000,283
64000,276
65000,270
66000,281
67000,292
68000,273
69000,283
70000,300
71000,291
72000,277
73000,281
74000,280
75000,283
76000,283
77000,290
78000,292
79000,270
80000,283
81000,280
82000,301
83000,286
84000,286
85000,294
86000,304
87000,321
88000,307
89000,303
90000,304
91000,310
92000,375
93000,315
94000,317
95000,310
96000,306
97000,295
98000,293
99000,290
100000,328
101000,324
102000,305
103000,300
104000,306
105000,295
106000,291
107000,301
108000,291
109000,290
110000,285
111000,297
112000,310
113000,326
114000,305
115000,305
116000,300
117000,318
118000,307
119000,281
120000,278
121000,275
122000,285
123000,295
124000,294
125000,290
126000,287
127000,295
128000,285
129000,288
130000,293
131000,288
132000,277
133000,283
134000,281
135000,281
136000,285
137000,293
138000,296
139000,303
140000,306
141000,308
142000,307
143000,303
144000,299
145000,302
146000,279
147000,285
148000,288
149000,293
150000,270
151000,284
152000,288
153000,311
154000,306
155000,298
156000,318
157000,323
158000,339
159000,325
160000,327
161000,316
162000,310
163000,301
164000,293
165000,290
166000,294
167000,291
168000,283
169000,296
170000,299
171000,314
172000,296
173000,311
174000,294
175000,310
176000,342
177000,347
178000,307
179000,293
180000,309
181000,324
182000,328
183000,317
184000,319
185000,343
186000,319
187000,349
188000,326
189000,324
190000,305
191000,312
192000,308
193000,313
194000,290
195000,298
196000,292
197000,304
198000,313
199000,310
