DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,1,1
2000,1,1,2
3000,2,1,2
4000,3,2,6
5000,4,3,4
6000,6,3,4
7000,9,5,6
8000,11,5,7
9000,15,7,7
10000,16,8,7
11000,20,9,9
12000,23,10,10
13000,33,13,13
14000,38,15,14
15000,42,17,14
16000,52,17,16
17000,55,21,16
18000,69,20,16
19000,80,21,16
20000,83,23,17
21000,88,24,18
22000,102,26,19
23000,116,27,17
24000,129,31,18
25000,156,45,28
26000,178,51,29
27000,180,55,31
28000,205,57,31
29000,207,57,32
30000,209,60,32
31000,220,59,34
32000,276,62,32
33000,272,66,33
34000,276,69,33
35000,294,75,34
36000,335,78,34
37000,342,85,35
38000,380,87,36
39000,370,87,37
40000,428,104,35
41000,422,98,36
42000,466,107,43
43000,464,106,37
44000,504,128,38
45000,507,122,40
46000,475,122,40
47000,538,135,41
48000,579,137,41
49000,581,140,41
50000,728,190,60
51000,808,196,63
52000,861,201,64
53000,836,205,64
54000,982,210,65
55000,1011,225,72
56000,967,218,70
57000,1047,231,65
58000,1058,242,69
59000,1048,241,71
60000,1138,245,66
61000,1153,255,69
62000,1110,278,73
63000,1150,277,69
64000,1311,294,69
65000,1292,296,69
66000,1383,296,76
67000,1424,295,74
68000,1532,318,73
69000,1531,330,79
70000,1681,345,76
71000,1472,366,73
72000,1639,366,70
73000,2041,386,74
74000,1981,408,74
75000,1845,380,77
76000,1980,376,79
77000,2033,384,82
78000,2134,411,77
79000,2219,422,79
